year,month,year_month,airport,residence_country,traveller_type,counts
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Pakistan,Tourists (overnight),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Pakistan,Visitors,2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Peru,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Peru,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Peru,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Philippines,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Philippines,Tourists (overnight),1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Philippines,Visitors,1
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Poland,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Poland,Tourists (overnight),12
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Poland,Visitors,12
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Portugal,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Portugal,Tourists (overnight),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Portugal,Visitors,2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Residents of countries other than the United States of America entering Canada, air",Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Residents of countries other than the United States of America entering Canada, air",Tourists (overnight),727
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","Residents of countries other than the United States of America entering Canada, air",Visitors,727
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Romania,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Romania,Tourists (overnight),18
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Romania,Visitors,18
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Russian Federation,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Russian Federation,Tourists (overnight),9
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Russian Federation,Visitors,9
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saint Pierre and Miquelon,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saint Pierre and Miquelon,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saint Pierre and Miquelon,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saudi Arabia,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saudi Arabia,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Saudi Arabia,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Singapore,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Singapore,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Singapore,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","South Africa, Republic of",Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","South Africa, Republic of",Tourists (overnight),26
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","South Africa, Republic of",Visitors,26
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Spain,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Spain,Tourists (overnight),10
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Spain,Visitors,10
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Sweden,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Sweden,Tourists (overnight),7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Sweden,Visitors,7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Switzerland,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Switzerland,Tourists (overnight),21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Switzerland,Visitors,21
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Taiwan,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Taiwan,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Taiwan,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Thailand,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Thailand,Tourists (overnight),5
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Thailand,Visitors,5
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Trinidad and Tobago,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Trinidad and Tobago,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Trinidad and Tobago,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Türkiye,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Türkiye,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Türkiye,Visitors,0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ukraine,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ukraine,Tourists (overnight),14
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Ukraine,Visitors,14
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Arab Emirates,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Arab Emirates,Tourists (overnight),7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Arab Emirates,Visitors,7
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Kingdom,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Kingdom,Tourists (overnight),35
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",United Kingdom,Visitors,35
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","United States of America residents entering Canada, air",Excursionists (same-day),2
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","United States of America residents entering Canada, air",Tourists (overnight),1054
2021,Jan,2021-01-01,"Calgary International Airport, Alberta","United States of America residents entering Canada, air",Visitors,1056
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Venezuela,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Venezuela,Tourists (overnight),3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Venezuela,Visitors,3
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Viet Nam,Excursionists (same-day),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Viet Nam,Tourists (overnight),0
2021,Jan,2021-01-01,"Calgary International Airport, Alberta",Viet Nam,Visitors,0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa,Excursionists (same-day),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa,Tourists (overnight),0
2021,Jan,2021-01-01,"Edmonton International Airport, Alberta",Africa,Visitors,0
